,Title,Location,Cost,Price per unit,Area,Facing,Status,Floor,Furnished,Free/Attorney,Bathroom,Owner,Posted
0,3 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.7Cr,"@14,167/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Harpreet Singh (Admin),Posted: 3 Months ago
1,2 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.25Cr,"@10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Rohit (Agent),Posted: 6 Months ago
2,3 BHK Apartment / Flat for Sale,"Dwarka Sector 7, New Delhi",85Lac,"@6,538/Sq Ft.",1300 Sq Ft.,North,Under Construction,Ground of 3 Floor,Unfurnished,Co-Operative Society,2 Bathroom,Vipul Mehta (Builder),Posted: 8 Months ago
3,3 BHK Apartment / Flat for Sale,"Karampura, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,10th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
4,2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.81Cr,"@21,531/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
5,2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",45Lac,"@56,250/Sq Yd.",80 Sq Yd.,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Asha Kadwal (Owner),Posted: 10 Months ago
6,2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.82Cr,"@21,576/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
7,3 BHK Apartment / Flat for Sale,"New Friends Colony, New Delhi",3.5Cr,"@140,000/Sq Yd.",250 Sq Yd.,South-East,Ready to Move,Ground of 4 Floor,Semi Furnished,Freehold,3 Bathroom,Bhasin (Agent),Posted: 11 Months ago
8,2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@12,000/Sq Ft.",1000 Sq Ft.,East,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 11 Months ago
9,3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,11th of 26 Floor,Semi Furnished,Freehold,3 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
